Apollo NEA quantity: 506 (how many times we can actually see NEA asteroids)
Apollo NEA Unique quantity: 228
Apollo NEAs: 
b'-' b'2018 GW3' b'06 18 43.0036' b'+12 09 30.382' b'NEA>Apollo' b'27.2' b'5.943' b'763.123' b'94.67918155395523' b'12.15843955846845' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2018+GW3'
b'274138' b'2008 FU6' b'06 41 19.3035' b'+11 49 14.050' b'NEA>Apollo' b'22.0' b'0.317' b'592.199' b'100.33043110284667' b'11.820569446381473' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2008+FU6'
b'259221' b'2003 BA21' b'08 01 34.8008' b'+08 17 3.031' b'NEA>Apollo' b'22.8' b'1.474' b'791.577' b'120.39500316567357' b'8.284175171807052' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+BA21'
b'259221' b'2003 BA21' b'08 01 35.0884' b'+08 17 5.174' b'NEA>Apollo' b'22.8' b'1.474' b'612.469' b'120.39620152867448' b'8.284770467507748' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+BA21'
b'259221' b'2003 BA21' b'08 01 35.3768' b'+08 17 7.313' b'NEA>Apollo' b'22.8' b'1.474' b'461.064' b'120.39740335348638' b'8.2853648092337' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+BA21'
b'259221' b'2003 BA21' b'08 01 35.6661' b'+08 17 9.450' b'NEA>Apollo' b'22.8' b'1.474' b'372.793' b'120.39860863667157' b'8.285958196411977' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+BA21'
b'259221' b'2003 BA21' b'08 01 35.9562' b'+08 17 11.582' b'NEA>Apollo' b'22.8' b'1.474' b'392.803' b'120.399817377657' b'8.286550630761438' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+BA21'
b'259221' b'2003 BA21' b'08 01 36.2471' b'+08 17 13.712' b'NEA>Apollo' b'22.8' b'1.474' b'508.463' b'120.4010295747239' b'8.287142111136166' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+BA21'
b'259221' b'2003 BA21' b'08 01 36.5389' b'+08 17 15.837' b'NEA>Apollo' b'22.8' b'1.474' b'672.078' b'120.40224522558037' b'8.287732638109134' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+BA21'
b'259221' b'2003 BA21' b'08 01 36.8314' b'+08 17 17.960' b'NEA>Apollo' b'22.8' b'1.474' b'856.595' b'120.40346432850754' b'8.288322212253274' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+BA21'
b'-' b'2011 LC19' b'08 47 10.4182' b'+06 30 15.093' b'NEA>Apollo' b'25.2' b'0.084' b'802.202' b'131.7934092172927' b'6.504192544202474' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+LC19'
b'-' b'2007 WY3' b'10 01 46.4320' b'-00 07 57.373' b'NEA>Apollo' b'25.5' b'11.555' b'844.379' b'150.44346677967275' b'-0.1326035054621004' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+WY3'
b'-' b'2007 WY3' b'10 01 46.1236' b'-00 07 53.156' b'NEA>Apollo' b'25.5' b'11.555' b'659.813' b'150.44218158148024' b'-0.13143210986574036' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+WY3'
b'-' b'2007 WY3' b'10 01 45.8155' b'-00 07 48.940' b'NEA>Apollo' b'25.5' b'11.555' b'568.046' b'150.44089795605686' b'-0.13026120242941128' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+WY3'
b'-' b'2007 WY3' b'10 01 45.5078' b'-00 07 44.727' b'NEA>Apollo' b'25.5' b'11.555' b'612.321' b'150.4396159028297' b'-0.1290907837260837' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+WY3'
b'-' b'2007 WY3' b'10 01 45.2005' b'-00 07 40.515' b'NEA>Apollo' b'25.5' b'11.555' b'769.503' b'150.43833542237167' b'-0.12792085318278712' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+WY3'
b'-' b'2015 RH2' b'10 06 32.6788' b'-01 57 38.022' b'NEA>Apollo' b'21.9' b'0.12' b'830.396' b'151.6361614890643' b'-1.9605615697382024' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+RH2'
b'474554' b'2003 YQ94' b'14 30 15.8717' b'-25 19 34.289' b'NEA>Apollo' b'22.1' b'0.149' b'647.055' b'217.5661319989345' b'-25.326191421756793' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+YQ94'
b'405762' b'2005 YO180' b'16 05 28.8866' b'-29 42 41.287' b'NEA>Apollo' b'22.0' b'0.157' b'378.747' b'241.37036097265198' b'-29.711468504149316' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+YO180'
b'-' b'2020 TE7' b'18 12 15.8721' b'-29 38 15.207' b'NEA>Apollo' b'28.1' b'15.293' b'870.374' b'273.06613392998264' b'-29.63755747168791' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2020+TE7'
b'-' b'2004 AD1' b'18 32 35.8241' b'-28 50 14.740' b'NEA>Apollo' b'27.0' b'0.594' b'640.53' b'278.1492671794039' b'-28.837427776729612' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+AD1'
b'-' b'2021 AT5' b'18 53 54.3355' b'-28 32 16.952' b'NEA>Apollo' b'31.9' b'33.546' b'162.7' b'283.4763977683034' b'-28.538042146538103' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2021+AT5'
b'-' b'2006 AR3' b'18 53 8.3688' b'-28 29 20.015' b'NEA>Apollo' b'25.9' b'33.626' b'694.988' b'283.28486998544065' b'-28.48889312213369' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2006+AR3'
b'387871' b'2004 RD252' b'19 02 55.0180' b'-27 10 4.498' b'NEA>Apollo' b'24.6' b'0.358' b'762.898' b'285.72924181736005' b'-27.16791614236582' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+RD252'
b'387871' b'2004 RD252' b'19 02 54.7280' b'-27 10 4.881' b'NEA>Apollo' b'24.6' b'0.358' b'638.136' b'285.72803352270876' b'-27.168022638031196' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+RD252'
b'-' b'2004 RZ164' b'19 14 28.9210' b'-27 03 13.242' b'NEA>Apollo' b'24.8' b'2.366' b'809.103' b'288.620504229443' b'-27.053678412280124' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+RZ164'
b'179806' b'2002 TD66' b'19 40 7.2064' b'-26 52 3.804' b'NEA>Apollo' b'25.3' b'0.398' b'597.876' b'295.030026862618' b'-26.86772331662745' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2002+TD66'
b'-' b'2011 BX10' b'20 34 26.6736' b'-23 56 40.383' b'NEA>Apollo' b'24.4' b'0.952' b'474.669' b'308.6111401911861' b'-23.94455076327099' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+BX10'
b'-' b'2014 HV177' b'20 36 51.1017' b'-24 00 27.636' b'NEA>Apollo' b'25.4' b'1.185' b'222.613' b'309.2129236362294' b'-24.007676628418835' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2014+HV177'
b'-' b'2004 FF29' b'21 48 40.2616' b'-20 20 3.220' b'NEA>Apollo' b'23.8' b'0.116' b'269.45' b'327.16775678773485' b'-20.334227813145766' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+FF29'
b'-' b'2008 JD33' b'22 13 16.5028' b'-14 10 18.179' b'NEA>Apollo' b'29.1' b'0.0' b'801.571' b'333.3187617661553' b'-14.171716311828808' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2008+JD33'
b'-' b'2015 JV' b'23 01 44.3730' b'-12 32 6.290' b'NEA>Apollo' b'28.3' b'0.061' b'626.988' b'345.4348873280437' b'-12.535080602700566' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+JV'
b'-' b'2015 JV' b'23 01 45.2048' b'-12 32 3.103' b'NEA>Apollo' b'28.3' b'0.061' b'103.413' b'345.4383531789673' b'-12.534195206436085' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+JV'
b'-' b'2015 JV' b'23 01 46.0363' b'-12 31 59.917' b'NEA>Apollo' b'28.3' b'0.061' b'420.901' b'345.4418180169015' b'-12.533310316093338' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+JV'
b'152964' b'2000 GP82' b'00 02 44.5092' b'-05 39 48.233' b'NEA>Apollo' b'21.3' b'0.246' b'845.885' b'0.6854548966236469' b'-5.663398171837957' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2000+GP82'
b'-' b'2013 NJ10' b'00 02 24.6684' b'-05 14 8.756' b'NEA>Apollo' b'22.8' b'13.014' b'604.179' b'0.6027847993711493' b'-5.235765607869203' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+NJ10'
b'-' b'2013 NJ10' b'00 02 27.1058' b'-05 13 55.048' b'NEA>Apollo' b'22.8' b'13.014' b'413.737' b'0.6129409890870697' b'-5.231957749270372' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+NJ10'
b'-' b'2013 NJ10' b'00 02 29.5434' b'-05 13 41.339' b'NEA>Apollo' b'22.8' b'13.014' b'707.989' b'0.6230975712790799' b'-5.228149794414638' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+NJ10'
b'-' b'2014 VL6' b'00 06 51.9025' b'-04 15 47.579' b'NEA>Apollo' b'23.4' b'5.692' b'389.463' b'1.716260301359879' b'-4.263216351583942' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2014+VL6'
b'-' b'2007 FF1' b'00 18 44.8783' b'-03 49 26.635' b'NEA>Apollo' b'24.0' b'0.302' b'414.387' b'4.686993039652886' b'-3.824065199946406' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+FF1'
b'267136' b'2000 EF104' b'00 37 31.2434' b'-03 22 23.890' b'NEA>Apollo' b'21.4' b'0.485' b'842.909' b'9.380180937374897' b'-3.373302726847973' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2000+EF104'
b'-' b'2011 GB55' b'00 48 29.8588' b'-03 10 34.520' b'NEA>Apollo' b'24.1' b'27.149' b'735.99' b'12.124411492456183' b'-3.176255623783024' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+GB55'
b'-' b'2005 QQ30' b'01 01 4.6057' b'-01 29 8.399' b'NEA>Apollo' b'23.5' b'1.122' b'757.466' b'15.269190324718503' b'-1.4856662907798548' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+QQ30'
b'-' b'2005 QQ30' b'01 01 7.3661' b'-01 28 52.248' b'NEA>Apollo' b'23.5' b'1.122' b'522.869' b'15.280691908145851' b'-1.4811800369735602' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+QQ30'
b'-' b'2005 QQ30' b'01 01 10.1260' b'-01 28 36.101' b'NEA>Apollo' b'23.5' b'1.122' b'288.599' b'15.292191728009103' b'-1.4766946913053698' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+QQ30'
b'-' b'2005 QQ30' b'01 01 12.8855' b'-01 28 19.957' b'NEA>Apollo' b'23.5' b'1.122' b'58.748' b'15.30368978430826' b'-1.4722102537752835' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+QQ30'
b'-' b'2005 QQ30' b'01 01 15.6447' b'-01 28 3.816' b'NEA>Apollo' b'23.5' b'1.122' b'184.07' b'15.315186077616286' b'-1.467726723810343' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+QQ30'
b'-' b'2005 QQ30' b'01 01 18.4033' b'-01 27 47.679' b'NEA>Apollo' b'23.5' b'1.122' b'417.836' b'15.326680609079089' b'-1.463244102556465' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+QQ30'
b'-' b'2005 QQ30' b'01 01 21.1616' b'-01 27 31.545' b'NEA>Apollo' b'23.5' b'1.122' b'652.36' b'15.33817337755076' b'-1.4587623894407038' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+QQ30'
b'-' b'2005 QQ30' b'01 01 23.9195' b'-01 27 15.414' b'NEA>Apollo' b'23.5' b'1.122' b'887.046' b'15.349664384177203' b'-1.4542815856089497' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+QQ30'
