Amor NEA quantity: 353 (how many times we can actually see NEA asteroids)
Amor NEA Unique quantity: 187
Amor NEAs: 
b'-' b'2015 JY1' b'09 32 24.6574' b'+01 05 43.171' b'NEA>Amor' b'24.0' b'0.308' b'319.366' b'143.10273925599193' b'1.0953252240604803' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+JY1'
b'474474' b'2003 SJ215' b'10 54 31.9525' b'-03 24 8.697' b'NEA>Amor' b'22.9' b'1.401' b'852.324' b'163.63313545318834' b'-3.4024158829713413' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+SJ215'
b'-' b'2007 YU56' b'18 15 49.3912' b'-29 34 42.301' b'NEA>Amor' b'28.1' b'0.503' b'776.512' b'273.95579675333' b'-29.578417008716773' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+YU56'
b'419829' b'2010 XK52' b'20 02 48.0306' b'-24 15 10.675' b'NEA>Amor' b'23.3' b'0.072' b'822.511' b'300.7001275904273' b'-24.25296528757058' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2010+XK52'
b'419829' b'2010 XK52' b'20 02 48.1998' b'-24 15 8.244' b'NEA>Amor' b'23.3' b'0.072' b'478.577' b'300.70083269234357' b'-24.252290124990992' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2010+XK52'
b'419829' b'2010 XK52' b'20 02 48.3684' b'-24 15 5.815' b'NEA>Amor' b'23.3' b'0.072' b'261.818' b'300.7015350704184' b'-24.251615343428348' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2010+XK52'
b'419829' b'2010 XK52' b'20 02 48.5363' b'-24 15 3.387' b'NEA>Amor' b'23.3' b'0.072' b'441.687' b'300.7022347240789' b'-24.250940942309672' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2010+XK52'
b'412983' b'1996 FO3' b'20 58 14.0095' b'-24 00 44.018' b'NEA>Amor' b'23.4' b'0.052' b'190.368' b'314.55837301796606' b'-24.012227091313402' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1996+FO3'
b'474532' b'2003 VG1' b'21 05 37.4277' b'-21 53 28.392' b'NEA>Amor' b'25.7' b'0.602' b'666.265' b'316.40594876467134' b'-21.89122011124359' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+VG1'
b'-' b'2014 UF206' b'21 16 51.9093' b'-21 28 12.500' b'NEA>Amor' b'25.2' b'0.256' b'402.132' b'319.2162889296547' b'-21.470138954115082' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2014+UF206'
b'-' b'2016 JH38' b'21 54 0.5142' b'-20 14 26.271' b'NEA>Amor' b'27.8' b'0.002' b'648.93' b'328.5021423739151' b'-20.24063095581164' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2016+JH38'
b'162900' b'2001 HG31' b'22 00 57.4764' b'-18 34 31.379' b'NEA>Amor' b'22.2' b'0.265' b'531.457' b'330.23948492377224' b'-18.575383087720873' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2001+HG31'
b'162900' b'2001 HG31' b'22 00 58.3740' b'-18 34 28.551' b'NEA>Amor' b'22.2' b'0.265' b'110.289' b'330.2432250255281' b'-18.574597623890238' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2001+HG31'
b'162900' b'2001 HG31' b'22 00 59.2714' b'-18 34 25.725' b'NEA>Amor' b'22.2' b'0.265' b'633.237' b'330.24696396876334' b'-18.57381263389569' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2001+HG31'
b'-' b'2020 TM4' b'22 02 15.9885' b'-18 01 49.710' b'NEA>Amor' b'27.8' b'1.01' b'848.603' b'330.5666188455509' b'-18.03047504935891' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2020+TM4'
b'-' b'2020 TM4' b'22 02 17.1872' b'-18 01 44.527' b'NEA>Amor' b'27.8' b'1.01' b'871.955' b'330.57161340287587' b'-18.029035141102558' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2020+TM4'
